NAME,state,county,pct_bachelors_plus
"Las Marías Municipio, Puerto Rico",72,083,12.3
"San Germán Municipio, Puerto Rico",72,125,19.7
"Comerío Municipio, Puerto Rico",72,045,12.0
"Canóvanas Municipio, Puerto Rico",72,029,18.6
"Rincón Municipio, Puerto Rico",72,117,18.8
"Guánica Municipio, Puerto Rico",72,055,14.1
"Añasco Municipio, Puerto Rico",72,011,15.6
"San Sebastián Municipio, Puerto Rico",72,131,15.5
"Cataño Municipio, Puerto Rico",72,033,18.2
"Loíza Municipio, Puerto Rico",72,087,13.7
"Juana Díaz Municipio, Puerto Rico",72,075,17.8
"Río Grande Municipio, Puerto Rico",72,119,19.2
"Bayamón Municipio, Puerto Rico",72,021,24.8
"Peñuelas Municipio, Puerto Rico",72,111,14.7
"Mayagüez Municipio, Puerto Rico",72,097,21.1
"Merced County, California",06,047,12.5
"Modoc County, California",06,049,15.6
"Mono County, California",06,051,29.9
"Monterey County, California",06,053,23.4
"Napa County, California",06,055,30.0
"Nevada County, California",06,057,31.9
"Orange County, California",06,059,36.0
"Placer County, California",06,061,34.1
"Plumas County, California",06,063,19.8
"Riverside County, California",06,065,20.5
"Sacramento County, California",06,067,27.8
"San Benito County, California",06,069,18.3
"San Bernardino County, California",06,071,18.4
"San Diego County, California",06,073,34.1
"San Francisco County, California",06,075,51.2
"San Joaquin County, California",06,077,17.5
"San Luis Obispo County, California",06,079,30.6
"San Mateo County, California",06,081,44.0
"Santa Barbara County, California",06,083,31.0
"Santa Clara County, California",06,085,45.3
"Santa Cruz County, California",06,087,37.3
"Shasta County, California",06,089,20.0
"Sierra County, California",06,091,23.0
"Siskiyou County, California",06,093,22.6
"Solano County, California",06,095,24.0
"Sonoma County, California",06,097,31.5
"Stanislaus County, California",06,099,16.3
"Sutter County, California",06,101,18.7
"Tehama County, California",06,103,12.6
"Trinity County, California",06,105,19.5
"Tulare County, California",06,107,13.0
"Tuolumne County, California",06,109,17.3
"Ventura County, California",06,111,30.8
"Yolo County, California",06,113,37.8
"Yuba County, California",06,115,12.5
"Adams County, Colorado",08,001,20.3
"Alamosa County, Colorado",08,003,26.6
"Arapahoe County, Colorado",08,005,37.9
"Archuleta County, Colorado",08,007,39.0
"Baca County, Colorado",08,009,19.0
"Bent County, Colorado",08,011,13.2
"Boulder County, Colorado",08,013,57.0
"Broomfield County, Colorado",08,014,44.4
"Chaffee County, Colorado",08,015,33.3
"Cheyenne County, Colorado",08,017,18.5
"Clear Creek County, Colorado",08,019,41.6
"Conejos County, Colorado",08,021,18.7
"Costilla County, Colorado",08,023,14.3
"Crowley County, Colorado",08,025,12.2
"Custer County, Colorado",08,027,29.2
"Delta County, Colorado",08,029,18.3
"Denver County, Colorado",08,031,40.1
"Dolores County, Colorado",08,033,14.9
"Douglas County, Colorado",08,035,54.4
"Eagle County, Colorado",08,037,45.9
"Elbert County, Colorado",08,039,29.2
"El Paso County, Colorado",08,041,34.9
"Fremont County, Colorado",08,043,16.2
"Garfield County, Colorado",08,045,24.4
"Gilpin County, Colorado",08,047,33.7
"Grand County, Colorado",08,049,28.8
"Gunnison County, Colorado",08,051,45.8
"Hinsdale County, Colorado",08,053,42.0
"Huerfano County, Colorado",08,055,27.2
"Jackson County, Colorado",08,057,21.7
"Jefferson County, Colorado",08,059,39.3
"Kiowa County, Colorado",08,061,20.1
"Kit Carson County, Colorado",08,063,14.9
"Lake County, Colorado",08,065,20.7
"La Plata County, Colorado",08,067,40.6
"Larimer County, Colorado",08,069,42.5
"Las Animas County, Colorado",08,071,19.3
"Lincoln County, Colorado",08,073,15.3
"Logan County, Colorado",08,075,18.0
"Mesa County, Colorado",08,077,25.4
"Mineral County, Colorado",08,079,39.1
"Moffat County, Colorado",08,081,14.9
"Montezuma County, Colorado",08,083,26.5
"Montrose County, Colorado",08,085,22.3
"Morgan County, Colorado",08,087,14.6
"Otero County, Colorado",08,089,15.4
"Ouray County, Colorado",08,091,41.3
"Park County, Colorado",08,093,32.6
"Phillips County, Colorado",08,095,16.0
"Pitkin County, Colorado",08,097,59.7
"Prowers County, Colorado",08,099,18.3
"Pueblo County, Colorado",08,101,20.9
"Rio Blanco County, Colorado",08,103,22.7
"Rio Grande County, Colorado",08,105,19.2
"Routt County, Colorado",08,107,45.6
"Saguache County, Colorado",08,109,19.4
"San Juan County, Colorado",08,111,30.8
"San Miguel County, Colorado",08,113,48.8
"Sedgwick County, Colorado",08,115,12.7
"Summit County, Colorado",08,117,49.9
"Teller County, Colorado",08,119,31.0
"Washington County, Colorado",08,121,18.3
"Weld County, Colorado",08,123,25.4
"Yuma County, Colorado",08,125,17.8
"Fairfield County, Connecticut",09,001,43.6
"Hartford County, Connecticut",09,003,33.3
"Litchfield County, Connecticut",09,005,32.3
"Middlesex County, Connecticut",09,007,37.0
"New Haven County, Connecticut",09,009,31.7
"New London County, Connecticut",09,011,30.6
"Tolland County, Connecticut",09,013,36.8
"Windham County, Connecticut",09,015,21.3
"Kent County, Delaware",10,001,20.0
"New Castle County, Delaware",10,003,32.4
"Sussex County, Delaware",10,005,21.2
"District of Columbia, District of Columbia",11,001,49.2
"Alachua County, Florida",12,001,40.9
"Baker County, Florida",12,003,6.2
"Bay County, Florida",12,005,20.4
"Bradford County, Florida",12,007,8.6
"Brevard County, Florida",12,009,26.2
"Broward County, Florida",12,011,29.6
"Calhoun County, Florida",12,013,11.6
"Charlotte County, Florida",12,015,21.3
"Citrus County, Florida",12,017,16.5
"Clay County, Florida",12,019,23.8
"Collier County, Florida",12,021,30.8
"Columbia County, Florida",12,023,14.9
"DeSoto County, Florida",12,027,11.6
"Dixie County, Florida",12,029,6.2
"Duval County, Florida",12,031,24.9
"Escambia County, Florida",12,033,23.4
"Flagler County, Florida",12,035,22.0
"Franklin County, Florida",12,037,18.8
"Gadsden County, Florida",12,039,12.3
"Gilchrist County, Florida",12,041,8.6
"Glades County, Florida",12,043,11.3
"Gulf County, Florida",12,045,13.6
"Hamilton County, Florida",12,047,7.8
"Hardee County, Florida",12,049,7.5
"Hendry County, Florida",12,051,8.2
"Hernando County, Florida",12,053,16.2
