state_county_work,workplace_emp
1001,19141
1003,92474
1005,14328
1007,6685
1009,19296
1011,4243
1013,10091
1015,66547
1017,14425
1019,8769
1021,13529
1023,5543
1025,13726
1027,6945
1029,4670
1031,22782
1033,29775
1035,5824
1037,2581
1039,19389
1041,6229
1043,42907
1045,28601
1047,21121
1049,36498
1051,27555
1053,17497
1055,49698
1057,7581
1059,15082
1061,10140
1063,3519
1065,5637
1067,6517
1069,64815
1071,25841
1073,480773
1075,5960
1077,45562
1079,12211
1081,68359
1083,41310
1085,5342
1087,8712
1089,222080
1091,10383
1093,15975
1095,46986
1097,234725
1099,11800
1101,181231
1103,65170
1105,3807
1107,6386
1109,18378
1111,8279
1113,17482
1115,26014
1117,97423
1119,5708
1121,38182
1123,18907
1125,111473
1127,34403
1129,6382
1131,4240
1133,11829
2013,3094
2016,4796
2020,198167
2050,8651
2060,1833
2068,2165
2070,4005
2090,59033
2100,2343
2110,20611
2122,30200
2130,10450
2150,9243
2164,932
2170,30607
2180,4459
2185,12523
2188,3411
2220,6664
2240,3776
2261,7138
2270,2836
2282,670
2290,2936
4001,31331
4003,60632
4005,86445
4007,23224
4009,11486
4011,5503
4012,8173
4013,2357515
4015,75033
4017,43346
4019,523739
4021,69719
4023,18783
4025,94923
4027,84132
5001,13671
5003,10773
5005,22741
5007,127616
5009,21223
5011,5630
5013,3617
5015,15160
5017,5172
5019,13491
5021,6718
5023,13027
5025,2034
5027,13000
5029,11387
5031,56153
5033,28280
5035,23234
5037,8008
5039,4294
5041,6689
5043,9216
5045,54715
5047,7342
5049,5019
5051,53682
5053,6547
5055,19795
5057,11484
5059,12257
5061,9833
5063,21936
5065,5616
5067,8338
5069,41630
5071,12034
5073,2465
5075,7345
5077,3604
5079,4615
5081,5893
5083,9337
5085,21481
5087,6820
5089,7032
5091,20564
5093,24381
5095,3776
5097,3725
5099,3800
5101,3008
5103,10106
5105,3062
5107,8873
5109,4243
5111,8652
5113,10194
5115,35143
5117,3034
5119,314811
5121,7766
5123,10995
5125,29979
5127,4701
5129,3785
5131,91542
5133,7751
5135,5792
5137,5567
5139,25928
5141,6123
5143,120600
5145,35489
5147,3114
5149,9882
6001,911950
6003,1178
6005,20006
6007,108402
6009,18574
6011,11065
6013,509432
6015,11439
6017,97215
6019,449584
6021,12060
6023,71965
6025,70465
6027,10588
6029,366751
6031,57557
6033,23896
6035,14566
6037,5791426
6039,60289
6041,183529
6043,8594
6045,50809
6047,94353
6049,4539
6051,10407
6053,226944
6055,91639
6057,58556
6059,2031005
6061,195758
6063,11028
6065,884667
6067,821069
6069,23669
6071,887414
6073,1908421
6075,729701
6077,291787
6079,157258
6081,483426
6083,262365
6085,1169564
6087,146131
6089,95981
6091,1345
6093,22510
6095,174624
6097,282783
6099,226109
6101,44930
6103,24830
6105,5042
6107,190603
6109,27824
6111,442614
6113,121782
6115,27356
8001,217930
8003,10532
8005,424670
8007,8476
8009,2725
8011,2281
8013,233600
8014,41864
8015,10801
8017,1508
8019,7806
8021,3127
8023,1408
8025,1833
8027,2335
8029,15946
8031,560124
8033,1109
8035,124788
8037,45192
8039,9282
8041,366633
8043,20724
8045,39236
8047,5430
8049,11511
8051,13276
8053,675
8055,3627
8057,1082
8059,269810
8061,1237
8063,4941
8065,3189
8067,38877
8069,192134
8071,9031
8073,3398
8075,13083
8077,87522
8079,848
8081,7882
8083,15125
8085,24347
8087,15796
8089,9708
8091,3344
8093,6433
8095,2569
8097,23059
8099,7240
8101,76037
8103,5746
8105,7215
8107,22793
8109,2883
8111,596
8113,8584
8115,1686
8117,26691
8119,11380
8121,2927
8123,117978
8125,6677
9001,616024
9003,637502
9005,99367
9007,98319
9009,495578
9011,173464
9013,64132
9015,53415
10001,86458
10003,358777
10005,99131
11001,790379
12001,164111
12003,9851
12005,102548
12007,11289
12009,286668
12011,1066488
12013,4582
12015,70487
12017,54763
12019,65393
12021,193089
12023,29396
12027,14406
12029,4743
12031,654353
12033,183219
12035,23363
12037,6345
12039,19790
12041,5705
12043,4339
12045,6047
12047,4867
12049,11500
12051,20053
12053,61210
12055,40865
12057,819217
12059,7865
12061,70837
12063,20155
12065,5246
12067,2496
12069,122137
12071,315731
12073,189132
12075,14616
12077,3408
12079,6873
12081,181634
12083,147776
12085,91580
12086,1446430
12087,56725
12089,28238
12091,130438
12093,14303
12095,865899
12097,93649
12099,805361
12101,136902
12103,596661
12105,278598
12107,23812
12109,75463
12111,101743
12113,51275
12115,232399
12117,244789
12119,24761
12121,16143
12123,9162
12125,5322
12127,222457
12129,9102
12131,28708
12133,9439
13001,8961
13003,2645
13005,5595
13007,1043
13009,25604
13011,9559
13013,27583
13015,53919
13017,10286
13019,7381
13021,110721
13023,6064
13025,4024
13027,4689
13029,11016
13031,32636
13033,8837
13035,9495
13037,2304
13039,24926
13043,4900
13045,53581
13047,26682
13049,3521
13051,185677
13053,16521
13055,9910
13057,75439
13059,87818
13061,1076
13063,151837
13065,3126
13067,452956
13069,22005
13071,21040
13073,47010
13075,6323
13077,50180
13079,4225
13081,11504
13083,6012
13085,12170
13087,14214
13089,461404
13091,8985
13093,5126
13095,62128
13097,60677
13099,6000
13101,1693
13103,14798
13105,10097
13107,11333
13109,6399
13111,11443
13113,67750
13115,54111
13117,64356
13119,12883
13121,965035
13123,14274
13125,844
13127,51230
13129,28522
13131,10640
13133,8568
13135,407372
13137,20032
13139,98727
13141,2503
13143,11608
13145,10709
13147,10212
13149,3548
13151,72067
13153,78857
13155,3691
13157,25244
13159,4589
13161,6210
13163,7636
13165,3386
13167,2941
13169,6660
13171,6159
13173,2525
13175,26829
13177,8424
13179,37716
13181,2848
13183,1776
13185,66402
13187,11217
13189,10905
13191,4161
13193,5283
13195,8222
13197,2789
13199,8269
