state_county_res,residence_emp
1001,34240.336
1003,104695.35
1005,13461.859
1007,11974.729
1009,34892.777
1011,5443.6157
1013,11225.066
1015,59988.89
1017,18379.496
1019,13494.389
1021,23021.209
1023,5484.59
1025,11772.391
1027,8244.683
1029,7366.398
1031,26092.576
1033,28109.057
1035,6684.222
1037,5139.4004
1039,19669.86
1041,7582.802
1043,48670.203
1045,27658.986
1047,20560.307
1049,39879.15
1051,46354.68
1053,16607.424
1055,53860.156
1057,9425.252
1059,17020.97
1061,15110.847
1063,3925.2014
1065,8214.945
1067,9365.866
1069,55596.41
1071,30069.154
1073,396507.9
1075,7470.531
1077,49863.156
1079,19818.07
1081,77290.41
1083,48983.85
1085,6352.999
1087,10214.583
1089,185260.64
1091,10729.173
1093,15746.168
1095,46779.605
1097,225085.12
1099,11829.539
1101,138011.16
1103,65652.36
1105,4685.5845
1107,10035.9375
1109,16908.273
1111,11328.424
1113,25517.492
1115,45880.234
1117,122081.33
1119,6609.476
1121,39812.742
1123,21613.066
1125,105417.09
1127,38587.0
1129,7625.044
1131,3935.3015
1133,11870.987
2013,3094.0
2016,4796.0
2020,192694.72
2050,8651.0
2060,1839.4745
2068,2165.0
2070,4005.0
2090,59033.0
2100,2328.3127
2110,20610.068
2122,30200.0
2130,10464.874
2150,9243.0
2164,925.5256
2170,36079.29
2180,4459.0
2185,12523.0
2188,3411.0
2220,6664.0
2240,3776.0
2261,7138.0
2270,2836.0
2282,670.0
2290,2936.0
4001,31328.867
4003,60630.793
4005,86445.0
4007,23027.543
4009,12599.636
4011,4341.532
4012,8168.8687
4013,2329530.5
4015,75033.0
4017,43131.953
4019,519993.06
4021,101925.914
4023,18476.168
4025,94923.0
4027,84136.13
5001,11892.61
5003,10686.028
5005,20678.049
5007,121070.98
5009,19277.156
5011,5380.256
5013,3612.2961
5015,14992.887
5017,5026.3506
5019,12737.317
5021,8692.272
5023,13915.938
5025,4393.2383
5027,12385.383
5029,11974.418
5031,50442.95
5033,36204.895
5035,28476.658
5037,9894.013
5039,3638.2336
5041,6495.2417
5043,9964.6
5045,66543.3
5047,9004.346
5049,6121.173
5051,51902.953
5053,11131.683
5055,19877.781
5057,11616.001
5059,17326.494
5061,7694.512
5063,19943.754
5065,6660.3643
5067,7756.66
5069,38523.45
5071,12038.275
5073,3487.241
5075,8389.062
5077,3949.3682
5079,5850.723
5081,6846.7036
5083,11298.097
5085,40488.52
5087,9536.706
5089,8351.431
5091,23899.3
5093,21496.879
5095,4244.86
5097,4741.306
5099,4848.268
5101,4943.1265
5103,12136.865
5105,5787.6133
5107,9737.454
5109,5160.2393
5111,11686.213
5113,10160.579
5115,33275.414
5117,4512.5474
5119,235022.36
5121,9017.345
5123,10336.101
5125,59780.004
5127,5316.708
5129,4643.3076
5131,70121.2
5133,7897.024
5135,6882.1406
5137,5810.225
5139,22739.57
5141,6980.7305
5143,116426.52
5145,39333.48
5147,3762.2366
5149,12044.322
6001,897741.2
6003,650.32495
6005,18215.654
6007,108074.51
6009,25564.086
6011,10634.449
6013,611906.06
6015,10990.63
6017,121641.13
6019,444039.47
6021,13184.261
6023,71717.13
6025,70563.26
6027,10588.0
6029,365407.28
6031,59512.758
6033,28558.658
6035,14191.463
6037,5776400.5
6039,62099.508
6041,176556.73
6043,9150.688
6045,49492.016
6047,105908.445
6049,4582.6245
6051,10417.988
6053,227288.53
6055,81013.83
6057,63018.844
6059,2012523.8
6061,199345.8
6063,11069.241
6065,908505.1
6067,791105.75
6069,31682.492
6071,887414.0
6073,1885915.1
6075,592728.0
6077,320087.84
6079,157946.22
6081,481833.62
6083,252378.77
6085,1074541.8
6087,163817.89
6089,93603.97
6091,1541.5696
6093,22441.83
6095,224609.05
6097,305679.34
6099,241196.33
6101,51222.902
6103,27650.111
6105,5394.499
6107,193875.97
6109,26906.357
6111,483660.84
6113,110895.25
6115,33194.043
8001,274071.75
8003,8466.467
8005,402098.47
8007,8552.401
8009,2761.9458
8011,2560.1204
8013,204238.72
8014,37383.387
8015,10274.207
8017,1477.9
8019,8863.049
8021,4723.8066
8023,1720.1887
8025,1990.2794
8027,2593.7366
8029,17566.867
8031,383168.66
8033,1367.7302
8035,186565.7
8037,46742.773
8039,18393.768
8041,362928.12
8043,20325.484
8045,41424.477
8047,3766.5457
8049,12048.414
8051,12486.913
8053,681.4859
8055,3679.749
8057,1129.089
8059,346513.06
8061,1253.4414
8063,4954.6924
8065,5173.577
8067,37756.496
8069,196361.22
8071,8996.883
8073,3170.8286
8075,13308.017
8077,89330.97
8079,735.38043
8081,9018.349
8083,15969.704
8085,25483.65
8087,16036.458
8089,9466.408
8091,3542.1958
8093,11215.322
8095,2608.1523
8097,15069.44
8099,7298.5376
8101,77812.4
8103,5010.9194
8105,6950.1123
8107,21817.57
8109,3602.8596
8111,607.5867
8113,6750.3477
8115,1622.5244
8117,24621.867
8119,14335.335
8121,3404.0605
8123,141213.9
8125,6202.6377
9001,574129.8
9003,546090.44
9005,131751.1
9007,111034.125
9009,538427.94
9011,169033.48
9013,100900.99
9015,72285.734
10001,92057.1
10003,331400.4
10005,104953.305
11001,334763.34
12001,145672.47
12003,13880.914
12005,98710.24
12007,13027.033
12009,291950.6
12011,1128459.0
12013,5975.932
12015,73823.99
12017,59536.56
12019,113792.08
12021,180422.0
12023,30171.162
12027,15763.124
12029,6409.934
12031,556200.1
12033,164513.31
12035,33694.637
12037,6472.7437
12039,22875.682
12041,8255.569
12043,5542.402
12045,6819.951
