vbar_n,state_county_res
38889.48,1001
33349.25,1003
33434.15,1005
40109.86,1007
37610.63,1009
33979.21,1011
31692.14,1013
38559.55,1015
33707.27,1017
31685.65,1019
38136.93,1021
43263.57,1023
33680.18,1025
32024.0,1027
35341.55,1029
34707.85,1031
36717.43,1033
33283.26,1035
36049.52,1037
31286.23,1039
34849.15,1041
33784.54,1043
46185.07,1045
34272.84,1047
31364.79,1049
38514.91,1051
35042.27,1053
34376.65,1055
30449.91,1057
31820.05,1059
32903.19,1061
34895.84,1063
35012.98,1065
35184.94,1067
38514.76,1069
33797.85,1071
51585.61,1073
32048.12,1075
32448.32,1077
35905.38,1079
35877.79,1081
40764.13,1083
40483.96,1085
34698.75,1087
51353.02,1089
35979.42,1091
31483.47,1093
35355.28,1095
40238.5,1097
36983.39,1099
44499.93,1101
41287.93,1103
30994.05,1105
35382.81,1107
36024.52,1109
32975.1,1111
39154.73,1113
41806.31,1115
49200.46,1117
32806.57,1119
40880.38,1121
32879.25,1123
42599.48,1125
32643.98,1127
41600.21,1129
38616.26,1131
31048.95,1133
29097.93,2013
47204.34,2016
59096.18,2020
41154.2,2050
45471.77,2060
52608.31,2068
34828.21,2070
51725.56,2090
28793.66,2100
55249.86,2110
39412.55,2122
45094.6,2130
45945.26,2150
46513.95,2164
40371.82,2170
46549.0,2180
96456.68,2185
58348.29,2188
35140.68,2201
41016.51,2220
34880.63,2232
58163.4,2240
49111.52,2261
30098.73,2270
34110.99,2280
29656.72,2282
40162.13,2290
31646.54,4001
42384.61,4003
36787.56,4005
33087.15,4007
37252.26,4009
52294.8,4011
35552.38,4012
49043.27,4013
34337.8,4015
34242.06,4017
40913.43,4019
44328.38,4021
40378.54,4023
32740.49,4025
41673.8,4027
37746.03,5001
41873.76,5003
29033.56,5005
43209.45,5007
33365.11,5009
33335.68,5011
40056.36,5013
28622.81,5015
36736.24,5017
31894.16,5019
32710.25,5021
28108.79,5023
36423.0,5025
37553.14,5027
33031.74,5029
36653.39,5031
36104.93,5033
41922.92,5035
32366.72,5037
33525.16,5039
36441.58,5041
34418.41,5043
38662.8,5045
34794.48,5047
24435.3,5049
30690.96,5051
35824.59,5053
34463.65,5055
32706.06,5057
32289.89,5059
36031.7,5061
33477.04,5063
26884.14,5065
33279.66,5067
41223.48,5069
32337.5,5071
36524.86,5073
30232.79,5075
40019.66,5077
36359.86,5079
40686.57,5081
32471.99,5083
40562.02,5085
31791.23,5087
26921.36,5089
38474.46,5091
42460.79,5093
31754.91,5095
26555.4,5097
32702.98,5099
25815.49,5101
34734.19,5103
33254.45,5105
37015.8,5107
34431.2,5109
35757.02,5111
26864.93,5113
34429.27,5115
35069.63,5117
49196.45,5119
28624.9,5121
37242.7,5123
42128.51,5125
29079.42,5127
22742.51,5129
40736.57,5131
34416.28,5133
27432.97,5135
23756.68,5137
41668.76,5139
28399.85,5141
41065.25,5143
33720.55,5145
31340.82,5147
31212.09,5149
66634.14,6001
37051.97,6003
41003.33,6005
38729.81,6007
35626.69,6009
46991.73,6011
61485.11,6013
40198.24,6015
42075.31,6017
44746.73,6019
43138.66,6021
36161.32,6023
44778.31,6025
39850.4,6027
48619.72,6029
52420.16,6031
36399.25,6033
45225.19,6035
55463.87,6037
44537.18,6039
60166.92,6041
34770.51,6043
34099.98,6045
48414.29,6047
35356.56,6049
38559.01,6051
51818.52,6053
50819.9,6055
