state_county_code,county_name,state_name,state_fips,workplaceemp,resemp,workplacewage,resWage,emplAround,workplaceWageAround,resAround,resWageAround,landArea,lambda_nn_n,pd_commuting,pd_migration,pd_goods,pd_commuting_goods,pd_migration_goods,productivity,deficit
1001,Autauga County,Alabama,1,19141,34240.34,33467.38,38889.48,1083467,46122.803670688634,1.0240306610000001e6,45628.588298527626,1539.582,0.39693560285908375,0.708757780193741,0.2817715299092063,0.9986099893635715,0.7077725993406203,0.28137986448558977,0.8644279062575674,354.98660777105874
1003,Baldwin County,Alabama,1,92474,104695.4,31443.09,33349.25,731752,40905.384330223904,731315.24,40694.32223031146,4117.521,0.7881774175369692,0.29389188143493655,0.7028660451604019,0.9865781572349274,0.28994731081238545,0.6934322876173505,0.8597576628290992,125.09786290086959
1005,Barbour County,Alabama,1,14328,13461.86,32658.99,33434.15,775635,39819.10824935698,756918.2849999999,39597.41575833509,2291.819,0.8120556891841098,0.34391492239788685,0.619510285180369,0.9994736539093295,0.34373390412295945,0.6191842083636342,0.8567939793410605,119.98781924793366
1007,Bibb County,Alabama,1,6685,11974.73,32004.64,40109.86,944094,45246.52008932373,976408.8589999999,45245.04713181197,1612.481,0.43550794047130925,0.6558245394775053,0.3397186668221246,0.999685225296592,0.6556181025026036,0.3396117319795335,0.8403719251931413,-57.39474358038075
1009,Blount County,Alabama,1,19296,34892.78,25252.64,37610.63,1443995,44503.49472086123,1.409624753e6,44343.03249117797,1669.962,0.449544862862747,0.6327764681071693,0.3653513464668881,0.9991532134401955,0.6322406414986155,0.3650419718570935,0.5905177725361546,-156.81997998912334
1011,Bullock County,Alabama,1,4243,5443.616,30309.92,33979.21,732042,39420.25100846673,733270.237,39435.49968448063,1613.057,0.567060204099628,0.5839635933108767,0.41252922760231936,0.9998480628138946,0.583874867525721,0.41246654907229124,0.7667328134053039,49.310862763124135
1013,Butler County,Alabama,1,10091,11225.07,29931.52,31692.14,440141,39289.56612165193,440444.705,39165.72742058084,2011.977,0.7705754173470634,0.335263256447353,0.6604706650048038,0.9996545045066635,0.3351474245031691,0.6602424753665637,0.77301203117905,94.83798830922927
1015,Calhoun County,Alabama,1,66547,59988.89,38750.28,38559.55,1825721,43758.33407894196,1.9863438880000003e6,45659.644342534644,1569.19,0.8655657739291391,0.3003539065420654,0.6750824649733042,0.9951077069237643,0.2988844872046693,0.6717797637040271,1.0041100271132672,616.6584515438317
1017,Chambers County,Alabama,1,14425,18379.5,31488.6,33707.27,1129435,39277.262319124166,1.195644101e6,42302.677812408176,1545.009,0.5103367882695394,0.6571382186862356,0.33179006097470004,0.9993891006808046,0.6567367733958228,0.3315873706523348,0.7795469927313503,165.1577878070284
1019,Cherokee County,Alabama,1,8769,13494.39,28277.11,31685.65,2703541,51867.612746128136,2.5205024680000003e6,48799.67582154351,1434.076,0.5024323441074402,0.6091709626586123,0.3884330946365787,0.999733836538396,0.6090088236064823,0.38832970793950866,0.6616735861127534,113.98760959139184
