,0
0,0.7100577
1,0.8923433
2,0.76296616
3,0.7801181
4,0.81290793
5,0.72751784
6,0.85717595
7,0.78026545
8,0.6502417
9,0.77318037
10,0.86452085
11,0.7848713
12,0.7453214
13,0.8113242
14,0.68113893
15,0.75371563
16,0.6232175
17,0.740717
18,0.5652865
19,0.87818813
20,0.7582063
21,0.86308753
22,0.61402005
23,0.8636474
24,0.85173476
25,0.68566924
26,0.78416246
27,0.8429838
28,0.76811284
29,0.7442877
30,0.8145715
31,0.7085933
32,0.82929695
33,0.7294431
34,0.7531691
35,0.8526135
36,0.75187963
37,0.7744635
38,0.79529023
39,0.73320657
40,0.8156536
41,0.69997525
42,0.5236853
43,0.62940043
44,0.7970338
45,0.7639219
46,0.7164169
47,0.73591715
48,0.8940188
49,0.866895
50,0.7107331
51,0.6961205
52,0.7157546
53,0.8556886
54,0.7656156
55,0.8396606
56,0.5720193
57,0.7153555
58,0.6281491
59,0.8662921
60,0.686939
61,0.81838286
62,0.8638089
63,0.80668783
64,0.70251167
65,0.7209475
66,0.6399114
67,1.0
68,1.0
69,0.9710722
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.9909483
76,0.9999547
77,1.0
78,0.9968754
79,1.0
80,0.9930532
81,0.9914972
82,1.0
83,1.0
84,1.0
85,0.998252
86,1.0
87,0.99778354
88,1.0
89,1.0
90,1.0
91,0.99052024
92,1.0
93,1.0
94,0.9365956
95,0.9978077
96,1.0
97,0.9853542
98,0.9798566
99,0.7562536
100,0.9967149
101,0.9873434
102,1.0
103,0.9640778
104,0.990236
105,0.9619722
106,0.9579896
107,1.0
108,0.99972993
109,0.8217952
110,0.8860253
111,0.8245376
112,0.79241794
113,0.8070212
114,0.8028396
115,0.49078217
116,0.8843425
117,0.7711133
118,0.7760411
119,0.8352895
120,0.8568322
121,0.8736825
122,0.84843946
123,0.6811532
124,0.81840795
125,0.7316889
126,0.7806992
127,0.87437004
128,0.59581804
129,0.7976154
130,0.831695
131,0.8396566
132,0.779469
133,0.8214645
134,0.86991155
135,0.80357766
136,0.81123763
137,0.7542399
138,0.7932533
139,0.6566328
140,0.80729586
141,0.8196562
142,0.76292485
143,0.8073559
144,0.8427219
145,0.76202154
146,0.7473568
147,0.7411307
148,0.7446174
149,0.6839063
150,0.8135457
151,0.7752644
152,0.88370335
153,0.77275026
154,0.6117313
155,0.8196458
156,0.770708
157,0.89071953
158,0.6741203
159,0.9146347
160,0.8433832
161,0.8032897
162,0.9181369
163,0.72291505
164,0.7957062
165,0.9258435
166,0.832521
167,0.8014796
168,0.71651846
169,0.8705498
170,0.710271
171,0.80173564
172,0.8823732
173,0.900546
174,0.67227143
175,0.8227388
176,0.7466412
177,0.8837724
178,0.845892
179,0.79957545
180,0.8139442
181,0.88005733
182,0.85539085
183,0.808178
184,0.7112604
185,0.34119147
186,0.7134807
187,0.942752
188,0.8790266
189,0.8018455
190,0.788274
191,0.93325573
192,0.86261654
193,0.94340765
194,0.83685166
195,0.99486053
196,0.9913856
197,1.0
198,0.99035573
199,0.8992307
200,0.96954185
201,0.9395474
202,0.95560634
203,0.7594351
204,0.68724513
205,0.85847825
206,0.9598414
207,0.90691555
208,0.9844235
209,0.9998447
210,0.9642114
211,0.7364431
212,0.892745
213,0.89470166
214,0.74797654
215,0.939969
216,0.99575984
217,0.8459494
218,0.82227683
219,1.0
220,0.9840199
221,0.6933224
222,0.86215335
223,0.96964437
224,0.6424409
225,0.9385894
226,0.8268924
227,0.9174005
228,0.9587108
229,0.7383572
