w_i,state_county_work
33467.375,1001
31443.086,1003
32658.99,1005
32004.637,1007
25252.643,1009
30309.922,1011
29931.523,1013
38750.28,1015
31488.596,1017
28277.113,1019
31051.371,1021
44881.473,1023
32499.2,1025
29671.273,1027
32368.309,1029
29491.22,1031
39405.81,1033
32227.678,1035
31740.41,1037
30873.33,1039
32497.191,1041
31460.74,1043
52548.934,1045
33819.28,1047
30713.848,1049
31136.346,1051
34823.227,1053
34001.246,1055
27618.389,1057
30511.404,1059
28683.334,1061
32605.002,1063
32284.193,1065
31808.654,1067
37917.273,1069
31813.668,1071
52415.49,1073
30563.59,1075
30353.277,1077
31556.22,1079
34315.598,1081
35416.34,1083
37024.15,1085
32726.01,1087
52085.09,1089
36060.387,1091
31640.627,1093
32403.95,1095
40311.37,1097
37531.188,1099
45330.402,1101
39746.938,1103
28193.328,1105
31380.207,1107
35347.152,1109
30599.105,1111
33643.234,1113
30929.422,1115
47006.168,1117
31357.568,1119
41224.74,1121
31973.607,1123
42219.598,1125
26627.62,1127
46013.16,1129
39933.254,1131
30776.312,1133
29097.932,2013
47204.336,2016
59126.29,2020
41154.203,2050
45468.086,2060
52608.312,2068
34828.215,2070
51725.56,2090
28768.246,2100
55249.867,2110
39412.55,2122
45144.305,2130
45945.258,2150
46513.95,2164
36829.09,2170
46549.004,2180
96456.68,2185
58348.285,2188
41016.508,2220
58163.402,2240
49111.516,2261
30098.73,2270
29656.717,2282
40162.125,2290
31511.059,4001
42393.72,4003
36787.562,4005
33027.902,4007
35423.473,4009
53023.99,4011
35535.3,4012
49048.465,4013
34337.797,4015
34329.836,4017
40912.164,4019
42524.105,4021
40360.273,4023
32740.494,4025
41675.758,4027
37664.617,5001
42523.715,5003
29371.049,5005
43995.227,5007
33879.094,5009
32754.707,5011
44649.434,5013
27997.559,5015
36918.793,5017
31721.37,5019
32044.36,5021
26334.076,5023
34502.457,5025
37646.54,5027
31007.729,5029
36694.957,5031
32205.729,5033
37312.73,5035
29948.55,5037
32662.086,5039
36501.42,5041
33669.49,5043
35000.24,5045
33746.39,5047
23590.955,5049
29862.338,5051
28136.703,5053
34152.46,5055
31702.37,5057
31152.648,5059
36150.617,5061
33792.395,5063
26137.998,5065
33274.887,5067
40908.504,5069
32077.78,5071
36384.18,5073
28426.549,5075
41922.31,5077
34093.39,5079
42527.914,5081
30476.17,5083
29385.643,5085
27031.818,5087
25132.537,5089
37571.19,5091
42705.633,5093
29000.0,5095
24358.658,5097
32196.842,5099
19804.521,5101
32046.508,5103
24926.52,5105
36998.42,5107
35247.703,5109
34150.37,5111
26290.072,5113
34673.562,5115
32820.7,5117
49858.797,5119
27691.861,5121
36892.77,5123
32535.041,5125
27149.756,5127
20346.896,5129
42013.645,5131
33789.832,5133
25410.566,5135
23086.402,5137
41898.797,5139
26296.26,5141
40715.082,5143
32032.545,5145
30994.541,5147
29362.883,5149
63375.457,6001
34799.66,6003
38979.707,6005
38520.156,6007
31330.516,6009
47102.668,6011
58500.02,6013
40511.06,6015
37556.785,6017
44706.535,6019
44296.35,6021
36160.4,6023
44804.484,6025
39850.4,6027
48644.016,6029
53643.62,6031
34676.684,6033
45297.13,6035
55414.777,6037
44631.043,6039
54161.51,6041
32609.729,6043
33985.438,6045
47298.254,6047
35102.227,6049
38563.562,6051
51792.86,6053
50209.78,6055
35436.453,6057
57293.168,6059
47930.727,6061
39143.18,6063
42185.754,6065
56555.69,6067
41166.547,6069
45136.227,6071
53302.914,6073
82883.45,6075
46640.996,6077
41731.504,6079
74400.95,6081
47427.31,6083
84657.91,6085
46181.664,6087
40604.766,6089
33468.402,6091
34725.01,6093
50188.055,6095
46150.12,6097
46019.65,6099
38382.35,6101
36946.273,6103
32311.979,6105
43566.89,6107
38342.832,6109
52132.51,6111
53954.305,6113
48590.254,6115
42906.832,8001
34878.94,8003
54544.543,8005
21558.637,8007
28694.68,8009
33263.043,8011
50449.902,8013
62658.156,8014
26071.752,8015
39608.09,8017
29751.986,8019
22802.367,8021
23775.568,8023
32497.0,8025
21407.709,8027
26118.463,8029
64743.605,8031
22256.988,8033
46619.113,8035
43683.574,8037
21848.63,8039
44920.49,8041
33428.39,8043
42236.21,8045
43909.39,8047
31462.428,8049
31581.8,8051
18542.223,8053
24815.55,8055
28556.377,8057
50448.902,8059
36323.363,8061
40089.05,8063
28726.246,8065
36496.668,8067
39226.1,8069
31893.81,8071
31065.04,8073
36401.207,8075
36777.312,8077
20625.0,8079
41816.164,8081
27638.215,8083
33298.848,8085
36069.703,8087
29931.705,8089
26355.562,8091
22325.51,8093
35124.562,8095
48399.324,8097
34064.227,8099
36681.668,8101
55914.375,8103
34822.176,8105
39196.2,8107
30028.79,8109
19545.303,8111
34849.49,8113
40388.492,8115
33518.414,8117
28584.799,8119
27442.092,8121
40348.92,8123
42767.41,8125
80031.19,9001
64335.59,9003
42218.453,9005
53384.32,9007
51846.746,9009
52336.723,9011
42012.242,9013
40405.074,9015
42417.348,10001
60328.906,10003
37877.516,10005
88293.2,11001
41182.26,12001
33468.48,12003
39452.723,12005
32371.334,12007
43754.152,12009
44587.688,12011
29862.506,12013
32246.215,12015
31130.654,12017
33009.895,12019
42624.66,12021
37916.145,12023
32727.684,12027
29789.584,12029
48656.004,12031
41378.887,12033
35673.844,12035
27840.662,12037
35465.285,12039
28185.451,12041
25162.02,12043
34220.273,12045
41375.387,12047
33484.695,12049
36043.934,12051
29911.795,12053
31306.473,12055
48860.14,12057
24391.863,12059
39313.086,12061
35174.05,12063
28108.654,12065
34831.73,12067
34041.16,12069
