cz2000_res,workplaceemp,resemp,workplacewage,resWage,emplAround,workplaceWageAround,resAround,resWageAround,landArea,lambda_nn_n,pd_commuting,pd_migration,pd_goods,pd_commuting_goods,pd_migration_goods,productivity,deficit
1,813891,793426.4,48794.11,48867.17,324803.,35873.60518215657,342862.94,36397.056051452804,11250,0.9888641214862526,0.041167330628939194,0.9489020105147794,0.8505260801419738,0.03501388834974027,0.8070659074419734,1.2410525483476118,9787.967000000004
2,1545567,1486961,50157.96,49996.1,300344.,36744.85017716352,343847.79,39211.80771060561,15715.27,0.982319643891131,0.05910478510945388,0.9202395568120239,0.8780535786677484,0.05189716808174423,0.8080196360904203,1.2193162558401787,-2867.097999999998
3,36538,35280.17,49225.3,48064.28,0.,0.,0.,0.,78272.46,1.,0.03186227227693414,0.9653785572171064,0.9991084273720741,0.0318338647471085,0.964517852119905,1.645898413055479,295.9749999999999
4,122429,122762.6,38099.63,38138.75,350914.,38558.43365545404,352412.1,38519.80456725834,9237.918,0.951719008883813,0.09066898815868152,0.9075874499580675,0.9921119534387507,0.08995378695842447,0.9004283578943928,1.003279644677553,87.23955000000024
5,1901737,1876278,54388.7,54326.16,703034.,42045.34462646188,730057.8099999999,42566.91250253278,23497.27,0.9907460408319023,0.02949808454942456,0.9581000031413975,0.6562562940451369,0.019358303647835473,0.6287591573862076,1.4364199516720435,-22161.61
6,16153,16066.2,39726.8,39706.48,15735.,34514.46361931999,15783.1034,34590.263106429884,8269.338,0.985834235849174,0.03298013852713454,0.9665586144131932,0.9971254540592898,0.032885335603807304,0.9637801972716733,1.2201434515309029,-62.801199999999994
7,164162,165350.4,39807.37,39769.83,65969.,38153.08597447286,67098.955,38222.827386308774,15636.26,0.9776940364220468,0.036734776623394506,0.9619064922708219,0.9676130542382182,0.03554504940532146,0.9307532788777411,1.0584268339885308,1842.4439999999995
8,105555,105337.9,38799.43,38524.68,325142.,35541.97079469894,330983.55,35871.65041282112,10000.52,0.9236114446936953,0.14588036371971436,0.8507625555801946,0.9965550043668092,0.14537780650373167,0.8478316822913387,0.9516695514874524,937.8573999999999
9,3393517,3394887,61951.12,61882.16,68566.,30935.84,69405.84,33062.02,26851.45,0.9950493197564455,0.009222243121109665,0.9717379573812782,0.6301052356443991,0.005810983674996745,0.6122971746203374,1.4495720820146112,36820.73000000001
10,1252480,1214311,47505.54,47321.06,821602.,37417.393674321625,881158.33,38269.57161436073,14233.52,0.9792219620838484,0.06595437943368873,0.9230418997501352,0.9307512620621271,0.06138712189643019,0.8591224131286617,1.1318368493214004,-1074.3530000000028
11,175219,171707.3,41021.51,41000.22,309992.,36792.65205795633,311043.88,36864.89694001856,7920.551,0.9763184209407522,0.06441702580181087,0.9331616624003203,0.9516651945986722,0.061303441395148026,0.8880574750402213,1.113234984556103,-650.7925000000005
12,193538,216015.3,36630.96,38881.69,2.350064e6,52817.554554165334,2.31238891e6,52738.31822238062,10053.62,0.8040967468508019,0.27648154473697245,0.7206978222505329,0.9919773211373923,0.27426342209211,0.7149158950656362,0.9524870681012951,-1745.558
13,22531,22405.22,33366.3,33372.8,0.,0.,0.,0.,6338.913,0.9858550819853586,0.03338171297213279,0.9663616946826633,0.999525842723613,0.03336588479002879,0.9659034872535078,0.9252106040979732,31.769679999999994
14,750760,735674.2,50857.88,50694.04,1.504128e6,44500.354176918445,1.5739968299999998e6,45419.68910832152,11301.9,0.9782486595289057,0.060527223154276916,0.9337390670440848,0.9370790417842634,0.056718792275272094,0.8749873102222031,1.2512096721001085,8993.866999999998
